LGU,2021,2022,2023,2024,2025
Caloocan,1051,4371,2334,3262,5451
Las Piñas,495,1603,969,1506,2132
Makati,457,1967,1136,1055,1103
Malabon,459,2520,1299,1110,1349
Mandaluyong,319,952,543,946,901
Manila,1220,3919,2712,5511,8601
Marikina,330,1305,699,1450,1166
Muntinlupa,198,1268,383,972,980
Navotas,201,950,191,535,590
Parañaque,594,2281,1151,1697,1611
Pasay City,186,746,689,1133,1152
Pasig,749,3257,2013,3018,3644
Pateros,77,412,249,494,236
Quezon City,1647,8214,4766,9571,11071
San Juan,133,359,170,441,312
Taguig,1289,5125,2682,2737,2920
Valenzuela,1088,4504,1692,1787,1795
