City and Municipality,Total Population,Land Area,Population Density
Caloocan,1712945,55.8,30698
Las Piñas,615549,32.69,18830
Makati,309770,21.57,14361
Malabon,389929,15.71,24820
Mandaluyong,465902,9.29,50151
Manila,1902590,24.98,76165
Marikina,471323,21.52,21902
Muntinlupa,552225,39.75,13892
Navotas,252878,8.94,28286
Parañaque,703245,46.57,15101
Pasay City,453186,13.97,32440
Pasig,853050,48.46,17603
Pateros,67319,10.4,6473
Quezon City,3084270,171.71,17962
San Juan,134312,5.95,22573
Taguig,1308085,45.21,28934
Valenzuela,725173,47.02,15423
