LGU,Year,Population,Land Area,Population Density,Status
Caloocan,2021,1674424.25,55.8,30007.603046594984,interpolated
Caloocan,2022,1687264.5,55.8,30237.71505376344,interpolated
Caloocan,2023,1700104.75,55.8,30467.8270609319,interpolated
Caloocan,2024,1712945.0,55.8,30697.93906810036,official
Caloocan,2025,1725785.25,55.8,30928.05107526882,extrapolated
Las Piñas,2021,608607.0,32.69,18617.528296115022,interpolated
Las Piñas,2022,610921.0,32.69,18688.314469256653,interpolated
Las Piñas,2023,613235.0,32.69,18759.100642398287,interpolated
Las Piñas,2024,615549.0,32.69,18829.88681553992,official
Las Piñas,2025,617863.0,32.69,18900.672988681556,extrapolated
Makati,2021,549654.5,21.57,25482.35975892443,interpolated
Makati,2022,469693.0,21.57,21775.289754288362,interpolated
Makati,2023,389731.5,21.57,18068.219749652293,interpolated
Makati,2024,309770.0,21.57,14361.149745016226,official
Makati,2025,229808.5,21.57,10654.079740380157,extrapolated
Malabon,2021,382873.75,15.71,24371.339910884784,interpolated
Malabon,2022,385225.5,15.71,24521.037555697007,interpolated
Malabon,2023,387577.25,15.71,24670.73520050923,interpolated
Malabon,2024,389929.0,15.71,24820.43284532145,official
Malabon,2025,392280.75,15.71,24970.13049013367,extrapolated
Mandaluyong,2021,435794.0,9.29,46910.01076426265,interpolated
Mandaluyong,2022,445830.0,9.29,47990.3121636168,interpolated
Mandaluyong,2023,455866.0,9.29,49070.61356297094,interpolated
Mandaluyong,2024,465902.0,9.29,50150.914962325085,official
Mandaluyong,2025,475938.0,9.29,51231.21636167923,extrapolated
Manila,2021,1860532.25,24.98,74480.8746997598,interpolated
Manila,2022,1874551.5,24.98,75042.09367493996,interpolated
Manila,2023,1888570.75,24.98,75603.31265012009,interpolated
Manila,2024,1902590.0,24.98,76164.53162530024,official
Manila,2025,1916609.25,24.98,76725.75060048039,extrapolated
Marikina,2021,459875.0,21.52,21369.656133828998,interpolated
Marikina,2022,463691.0,21.52,21546.979553903348,interpolated
Marikina,2023,467507.0,21.52,21724.302973977694,interpolated
Marikina,2024,471323.0,21.52,21901.626394052044,official
Marikina,2025,475139.0,21.52,22078.949814126394,extrapolated
Muntinlupa,2021,545640.0,39.75,13726.792452830188,interpolated
Muntinlupa,2022,547835.0,39.75,13782.012578616352,interpolated
Muntinlupa,2023,550030.0,39.75,13837.232704402515,interpolated
Muntinlupa,2024,552225.0,39.75,13892.452830188678,official
Muntinlupa,2025,554420.0,39.75,13947.672955974842,extrapolated
Navotas,2021,248876.75,8.94,27838.56263982103,interpolated
Navotas,2022,250210.5,8.94,27987.75167785235,interpolated
Navotas,2023,251544.25,8.94,28136.94071588367,interpolated
Navotas,2024,252878.0,8.94,28286.12975391499,official
Navotas,2025,254211.75,8.94,28435.31879194631,extrapolated
Parañaque,2021,693305.25,46.57,14887.379214086322,interpolated
Parañaque,2022,696618.5,46.57,14958.524801374275,interpolated
Parañaque,2023,699931.75,46.57,15029.670388662229,interpolated
Parañaque,2024,703245.0,46.57,15100.815975950183,official
Parañaque,2025,706558.25,46.57,15171.961563238136,extrapolated
Pasay,2021,443788.5,13.97,31767.251252684324,interpolated
Pasay,2022,446921.0,13.97,31991.481746599857,interpolated
Pasay,2023,450053.5,13.97,32215.71224051539,interpolated
Pasay,2024,453186.0,13.97,32439.942734430922,official
Pasay,2025,456318.5,13.97,32664.173228346455,extrapolated
Pasig,2021,815631.75,48.46,16831.03074700784,interpolated
Pasig,2022,828104.5,48.46,17088.413124226165,interpolated
Pasig,2023,840577.25,48.46,17345.79550144449,interpolated
Pasig,2024,853050.0,48.46,17603.177878662813,official
Pasig,2025,865522.75,48.46,17860.560255881137,extrapolated
Pateros,2021,65750.0,10.4,6322.115384615385,interpolated
Pateros,2022,66273.0,10.4,6372.403846153846,interpolated
Pateros,2023,66796.0,10.4,6422.692307692308,interpolated
Pateros,2024,67319.0,10.4,6472.980769230769,official
Pateros,2025,67842.0,10.4,6523.2692307692305,extrapolated
Quezon City,2021,2991103.5,171.71,17419.5067264574,interpolated
Quezon City,2022,3022159.0,171.71,17600.366897676315,interpolated
Quezon City,2023,3053214.5,171.71,17781.22706889523,interpolated
Quezon City,2024,3084270.0,171.71,17962.087240114146,official
Quezon City,2025,3115325.5,171.71,18142.94741133306,extrapolated
San Juan,2021,128338.25,5.95,21569.453781512606,interpolated
San Juan,2022,130329.5,5.95,21904.11764705882,interpolated
San Juan,2023,132320.75,5.95,22238.78151260504,interpolated
San Juan,2024,134312.0,5.95,22573.44537815126,official
San Juan,2025,136303.25,5.95,22908.10924369748,extrapolated
Taguig,2021,992062.75,45.21,21943.43618668436,interpolated
Taguig,2022,1097403.5,45.21,24273.468259234684,interpolated
Taguig,2023,1202744.25,45.21,26603.500331785002,interpolated
Taguig,2024,1308085.0,45.21,28933.532404335325,official
Taguig,2025,1413425.75,45.21,31263.564476885644,extrapolated
Valenzuela,2021,717526.75,47.02,15260.032964695873,interpolated
Valenzuela,2022,720075.5,47.02,15314.238621863036,interpolated
Valenzuela,2023,722624.25,47.02,15368.444279030198,interpolated
Valenzuela,2024,725173.0,47.02,15422.649936197362,official
Valenzuela,2025,727721.75,47.02,15476.855593364524,extrapolated
