Year,Age Group,Female,Male,Total,Share of Year %
2021,0-4,708,817,1525,14.53349852282474
2021,5-9,877,1094,1971,18.783951205565614
2021,10-14,829,1273,2102,20.032402554083674
2021,15-19,523,850,1373,13.084913752025159
2021,20-24,432,529,961,9.158486610121033
2021,25-29,382,406,788,7.509768417039932
2021,30-34,295,292,587,5.594205660916802
2021,35-39,175,195,370,3.5261602973410846
2021,40-44,107,130,237,2.2586486228914513
2021,45-49,60,78,138,1.3151624892785667
2021,50-54,58,60,118,1.1245592299628324
2021,55-60,69,50,119,1.134089392928619
2021,>60,98,106,204,1.94415324502049
2022,0-4,3265,3808,7073,16.165748634379355
2022,5-9,4127,4659,8786,20.08090873768656
2022,10-14,3629,5163,8792,20.09462208305716
2022,15-19,2298,3336,5634,12.876831302996367
2022,20-24,1767,2061,3828,8.749114346444815
2022,25-29,1571,1675,3246,7.418919845496309
2022,30-34,989,1048,2037,4.655680753319772
2022,35-39,635,655,1290,2.948369254679679
2022,40-44,398,426,824,1.883299430896167
2022,45-49,261,293,554,1.266198889219025
2022,50-54,242,215,457,1.0444998057276074
2022,55-60,228,198,426,0.9736475213128242
2022,>60,406,400,806,1.8421593947843578
2023,0-4,2268,2604,4872,20.576062167412786
2023,5-9,2557,2908,5465,23.08049666356956
2023,10-14,1744,2369,4113,17.37055494551905
2023,15-19,1023,1411,2434,10.279584424360165
2023,20-24,832,915,1747,7.378156938930652
2023,25-29,732,807,1539,6.499704366922882
2023,30-34,548,559,1107,4.675225948137512
2023,35-39,309,319,628,2.65225103471577
2023,40-44,197,232,429,1.8118084297660275
2023,45-49,158,172,330,1.3936987921277133
2023,50-54,155,113,268,1.131852352394628
2023,55-60,125,110,235,0.9924824731818567
2023,>60,302,209,511,2.1581214629613985
2024,0-4,2282,2648,4930,13.243787777031566
2024,5-9,3929,4454,8383,22.519811954331768
2024,10-14,3566,4885,8451,22.702484889187375
2024,15-19,2013,2819,4832,12.980523841504365
2024,20-24,1393,1597,2990,8.032236400268637
2024,25-29,1343,1290,2633,7.073203492276696
2024,30-34,854,849,1703,4.574882471457354
2024,35-39,514,513,1027,2.7588985896574885
2024,40-44,318,303,621,1.6682337139019474
2024,45-49,247,190,437,1.1739422431161854
2024,50-54,187,163,350,0.9402283411685695
2024,55-60,171,137,308,0.8274009402283412
2024,>60,317,243,560,1.5043653458697113
2025,0-4,3021,3394,6415,14.251121873195006
2025,5-9,5071,5722,10793,23.97698493801928
2025,10-14,4072,5599,9671,21.48442706713467
2025,15-19,2494,3420,5914,13.138134802505888
2025,20-24,1556,1761,3317,7.36881858977207
2025,25-29,1417,1394,2811,6.244723863686853
2025,30-34,968,896,1864,4.140933931665704
2025,35-39,608,594,1202,2.6702803572221976
2025,40-44,434,407,841,1.86830763762385
2025,45-49,284,255,539,1.1974052516994713
2025,50-54,251,212,463,1.0285688896787666
2025,55-60,252,175,427,0.9485937708268539
2025,>60,425,332,757,1.6816990269693872
