LGU,Year,Dengue Cases,Population,Land Area,Population Density,Incidence Rate,Previous Year Incidence,YoY % Change,Five-Year Average Incidence,Status
Caloocan,2021,1051,1674424.25,55.8,30007.603046594984,62.76784393202619,,,193.08007232203767,interpolated
Caloocan,2022,4371,1687264.5,55.8,30237.71505376344,259.0583752577026,62.76784393202619,312.7246676470954,193.08007232203767,interpolated
Caloocan,2023,2334,1700104.75,55.8,30467.8270609319,137.2856584278116,259.0583752577026,-47.005898461594064,193.08007232203767,interpolated
Caloocan,2024,3262,1712945.0,55.8,30697.93906810036,190.4322672356672,137.2856584278116,38.71242591286511,193.08007232203767,official
Caloocan,2025,5451,1725785.25,55.8,30928.05107526882,315.85621675698064,190.4322672356672,65.86276125468616,193.08007232203767,extrapolated
Las Piñas,2021,495,608607.0,32.69,18617.528296115022,81.3332741818612,,,218.2916829497717,interpolated
Las Piñas,2022,1603,610921.0,32.69,18688.314469256653,262.3907182761765,81.3332741818612,222.61177349072508,218.2916829497717,interpolated
Las Piñas,2023,969,613235.0,32.69,18759.100642398287,158.01446427552244,262.3907182761765,-39.778942901019064,218.2916829497717,interpolated
Las Piñas,2024,1506,615549.0,32.69,18829.88681553992,244.6596452922513,158.01446427552244,54.83370235376028,218.2916829497717,official
Las Piñas,2025,2132,617863.0,32.69,18900.67298868156,345.060312723047,244.6596452922513,41.03687279970708,218.2916829497717,extrapolated
Makati,2021,457,549654.5,21.57,25482.35975892443,83.14313809856918,,,322.7900308800346,interpolated
Makati,2022,1967,469693.0,21.57,21775.28975428836,418.7841845631083,83.14313809856918,403.69061613554277,322.7900308800346,interpolated
Makati,2023,1136,389731.5,21.57,18068.219749652293,291.4827259279786,418.7841845631083,-30.39786680768173,322.7900308800346,interpolated
Makati,2024,1055,309770.0,21.57,14361.149745016226,340.57526551957903,291.4827259279786,16.842349554439984,322.7900308800346,official
Makati,2025,1103,229808.5,21.57,10654.079740380155,479.9648402909378,340.57526551957903,40.92768585490408,322.7900308800346,extrapolated
Malabon,2021,459,382873.75,15.71,24371.339910884784,119.88285955879712,,,347.55154468579593,interpolated
Malabon,2022,2520,385225.5,15.71,24521.037555697007,654.1623023397984,119.88285955879712,445.66791678752156,347.55154468579593,interpolated
Malabon,2023,1299,387577.25,15.71,24670.73520050923,335.1589908850429,654.1623023397984,-48.76516276064044,347.55154468579593,interpolated
Malabon,2024,1110,389929.0,15.71,24820.43284532145,284.6672086456765,335.1589908850429,-15.06502394760005,347.55154468579593,official
