LGU,2025 Incidence,Five-Year Average Incidence,Difference vs Average,Ratio vs Average,At or Above Average
Caloocan,315.85621675698064,193.08007232203767,122.77614443494298,1.6358820097713918,True
Las Piñas,345.060312723047,218.2916829497717,126.76862977327528,1.5807304614644635,True
Makati,479.9648402909378,322.7900308800346,157.1748094109032,1.486925847686162,True
Malabon,343.8863619996648,347.55154468579593,-3.665182686131118,0.9894542759421638,False
Mandaluyong,189.31037235942495,159.6410689660033,29.669303393421643,1.185850067188788,True
Manila,448.7612694136794,231.33113671540292,217.43013269827645,1.9399086339413605,True
Marikina,245.40187187328343,211.15181077258404,34.250061100699384,1.162205860207316,True
Muntinlupa,176.76130009739907,138.03065813574625,38.73064196165282,1.2805944888240928,True
Navotas,232.08998010516825,196.0057202087011,36.08425989646716,1.1840979939669398,True
Parañaque,228.0066788548573,209.37533301578668,18.631345839070633,1.0889853908323854,True
Pasay,252.45524781484863,172.87752366689523,79.5777241479534,1.4603127257958979,True
Pasig,421.01724073688416,299.88467580550787,121.1325649313763,1.4039304929670284,True
Pateros,347.8671029745585,438.6489449263481,-90.7818419517896,0.7930421513562914,False
Quezon City,355.37217539547635,229.72844717677282,125.64372821870353,1.5469228115315752,True
San Juan,228.9013651545359,212.96102150608135,15.940343648454558,1.0748509916778333,True
Taguig,206.5902648228957,247.15204583214776,-40.56178100925206,0.8358832884725567,False
Valenzuela,246.66021044444528,300.87053903144647,-54.210328587001186,0.819821745387523,False
