Risk_Rank,LGU,Structural_Risk_Score,Incidence_2025,Five_Year_Avg_Incidence,Top_Third_Risk,2025_At_or_Above_5Yr_Avg,Priority_Tier
1,Pateros,273.33325032094683,347.8671029745585,438.6489449263481,True,False,Watch
2,Muntinlupa,260.3788492727232,176.76130009739907,138.03065813574625,True,True,Priority
3,Parañaque,258.34572432009946,228.00667885485737,209.37533301578674,True,True,Priority
4,Valenzuela,257.78209325432033,246.66021044444528,300.87053903144647,True,False,Watch
5,Makati,255.31397495981028,479.96484029093784,322.7900308800346,True,True,Priority
6,Pasig,254.36316325854668,421.01724073688416,299.88467580550787,True,True,Priority
7,Quezon City,253.67770307994456,355.37217539547635,229.72844717677282,False,True,Watch
8,Las Piñas,252.11422214844623,345.060312723047,218.2916829497717,False,True,Watch
9,Marikina,247.21432682312152,245.40187187328343,211.15181077258404,False,True,Watch
10,San Juan,246.30593236098548,228.9013651545359,212.96102150608135,False,True,Watch
11,Malabon,242.50444648029037,343.88636199966476,347.55154468579593,False,False,Stable
12,Taguig,238.4566287242716,206.5902648228957,247.15204583214776,False,False,Stable
13,Navotas,237.06331543611086,232.08998010516825,196.0057202087011,False,True,Watch
14,Caloocan,233.4353675320263,315.85621675698064,193.08007232203767,False,True,Watch
15,Pasay,230.78193621323712,252.45524781484863,172.87752366689523,False,True,Watch
16,Mandaluyong,206.32321086478692,189.31037235942495,159.6410689660033,False,True,Watch
17,Manila,173.5977580650527,448.76126941367943,231.33113671540292,False,True,Watch
