Risk_Rank,LGU,Structural_Risk_Score,Mean_Population_Density
1,Pateros,273.33325032094683,6422.692307692308
2,Muntinlupa,260.3788492727232,13837.232704402515
3,Parañaque,258.34572432009946,15029.67038866223
4,Valenzuela,257.78209325432033,15368.444279030198
5,Makati,255.31397495981028,18068.219749652293
6,Pasig,254.36316325854668,17345.79550144449
7,Quezon City,253.67770307994456,17781.22706889523
8,Las Piñas,252.11422214844623,18759.100642398287
9,Marikina,247.21432682312152,21724.302973977698
10,San Juan,246.30593236098548,22238.781512605045
11,Malabon,242.50444648029037,24670.73520050923
12,Taguig,238.4566287242716,26603.500331785
13,Navotas,237.06331543611086,28136.940715883673
14,Caloocan,233.4353675320263,30467.827060931904
15,Pasay,230.78193621323712,32215.712240515386
16,Mandaluyong,206.32321086478692,49070.61356297094
17,Manila,173.5977580650527,75603.31265012009
