LGU,Year,Dengue Cases,Population,Population Density,Incidence Rate,Predicted_Cases_NB,Predicted_Incidence_per_100k
Caloocan,2021,1051,1674424.25,30007.603046594984,62.76784393202619,1374.643622648975,82.09649511758893
Caloocan,2022,4371,1687264.5,30237.71505376344,259.0583752577026,5734.073488571866,339.8443746414309
Caloocan,2023,2334,1700104.75,30467.8270609319,137.2856584278116,3012.820802018852,177.21383356048221
Caloocan,2024,3262,1712945.0,30697.93906810036,190.4322672356672,4746.961477601148,277.12281933168595
Caloocan,2025,5451,1725785.25,30928.05107526882,315.85621675698064,5020.297470775383,290.89931500894346
Las Piñas,2021,495,608607.0,18617.528296115022,81.3332741818612,538.3293359557234,88.45270198267903
Las Piñas,2022,1603,610921.0,18688.314469256653,262.3907182761765,2239.260675192167,366.538500917822
Las Piñas,2023,969,613235.0,18759.100642398287,158.01446427552244,1173.3216778863623,191.33312317241553
Las Piñas,2024,1506,615549.0,18829.88681553992,244.6596452922513,1843.658522464067,299.5145020890403
Las Piñas,2025,2132,617863.0,18900.672988681556,345.060312723047,1944.6143231189606,314.7322825802744
Makati,2021,457,549654.5,25482.35975892443,83.14313809856918,464.816419353002,84.56519856619059
Makati,2022,1967,469693.0,21775.28975428836,418.7841845631083,1687.159708852603,359.2047803251492
Makati,2023,1136,389731.5,18068.219749652293,291.4827259279786,749.0660557672026,192.20054210840092
Makati,2024,1055,309770.0,14361.149745016226,340.57526551957903,955.3523976013909,308.40701087948827
Makati,2025,1103,229808.5,10654.079740380155,479.96484029093784,763.4062403789003,332.1923429198225
Malabon,2021,459,382873.75,24371.339910884784,119.88285955879712,326.1417023588046,85.18257058855683
Malabon,2022,2520,385225.5,24521.037555697007,654.1623023397984,1359.0952299182509,352.8051050406193
Malabon,2023,1299,387577.25,24670.73520050923,335.1589908850429,713.4102131749885,184.06916638553696
Malabon,2024,1110,389929.0,24820.43284532145,284.6672086456765,1122.9745125447173,287.9946124922017
Malabon,2025,1349,392280.75,24970.13049013367,343.88636199966476,1186.5346360555243,302.4707778945371
Mandaluyong,2021,319,435794.0,46910.01076426265,73.19972280481144,320.2916618922158,73.49611557116799
Mandaluyong,2022,952,445830.0,47990.3121636168,213.53430679855552,1348.8750434030558,302.55367368796533
Mandaluyong,2023,543,455866.0,49070.61356297094,119.11395015201836,715.2201529056097,156.89262917296082
Mandaluyong,2024,946,465902.0,50150.914962325085,203.04699271520624,1136.7222454095827,243.9831220749391
Mandaluyong,2025,901,475938.0,51231.21636167923,189.31037235942495,1212.1689376498837,254.6905138169013
Manila,2021,1220,1860532.25,74480.8746997598,65.57263385249034,1141.5809631079956,61.35776271053595
Manila,2022,3919,1874551.5,75042.09367493996,209.06334128456865,4750.9547375498805,253.44487668382973
Manila,2023,2712,1888570.75,75603.31265012009,143.60065674002416,2490.5361076709487,131.87412267562382
Manila,2024,5511,1902590.0,76164.53162530024,289.6577822862519,3915.0561334486642,205.77508204335481
Manila,2025,8601,1916609.25,76725.75060048039,448.76126941367943,4131.001048265168,215.53694621191917
Marikina,2021,330,459875.0,21369.656133829,71.75863006251699,399.5080335824944,86.873179360151
Marikina,2022,1305,463691.0,21546.979553903348,281.4374227664544,1668.0918113052892,359.742115181293
Marikina,2023,699,467507.0,21724.302973977698,149.51647782813947,877.2977905762797,187.65447160711597
Marikina,2024,1450,471323.0,21901.626394052044,307.6446513325257,1383.5737635948599,293.5510814441179
Marikina,2025,1166,475139.0,22078.94981412639,245.40187187328343,1464.6197045771828,308.2507865229297
Muntinlupa,2021,198,545640.0,13726.792452830188,36.287662194853745,498.33753600121673,91.33082911832284
Muntinlupa,2022,1268,547835.0,13782.012578616352,231.45655169896045,2073.575873174125,378.50372341564974
Muntinlupa,2023,383,550030.0,13837.232704402517,69.63256549642747,1086.8543689284234,197.59910712659735
Muntinlupa,2024,972,552225.0,13892.452830188678,176.0152111910906,1708.334834697715,309.35485258684685
Muntinlupa,2025,980,554420.0,13947.672955974842,176.76130009739907,1802.4512110870307,325.1057341161991
Navotas,2021,201,248876.75,27838.56263982103,80.76286756396489,207.24133588388065,83.27066947148765
Navotas,2022,950,250210.5,27987.75167785235,379.6803091796707,862.9450702170315,344.8876327000791
Navotas,2023,191,251544.25,28136.94071588367,75.93097437130842,452.62615558022827,179.93897915783336
